City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
235,Crotone,IT,39.0851,17.1178,65.19,51,37,11.68,scattered clouds
236,Arman,RU,59.7,150.1667,19.02,70,100,6.11,overcast clouds
237,Lazaro Cardenas,MX,17.9583,-102.2,84.81,71,6,7.4,clear sky
238,Kazachinskoye,RU,57.6953,93.2761,34.2,97,100,10.0,overcast clouds
239,Gao,ML,16.6362,1.637,96.04,11,60,7.94,broken clouds
240,Waipawa,NZ,-41.4122,175.5153,36.86,85,99,18.77,overcast clouds
241,Tiksi,RU,71.6872,128.8694,23.16,78,96,19.26,overcast clouds
242,Galle,LK,6.0367,80.217,77.27,89,100,12.59,light rain
243,San Buenaventura,MX,27.0833,-101.5333,80.47,39,29,7.92,scattered clouds
244,Tanda,IN,26.55,82.65,71.74,97,100,11.86,very heavy rain
245,Sioux Lookout,CA,50.1001,-91.917,50.07,100,100,6.91,mist
246,Newcastle,AU,-32.9272,151.7765,60.71,97,100,5.75,light rain
247,Luderitz,NA,-26.6481,15.1594,56.48,77,19,18.19,few clouds
248,Palana,RU,59.1167,159.9667,34.45,77,100,35.37,snow
249,Te Anau,NZ,-45.4167,167.7167,32.7,84,87,0.65,overcast clouds
250,Bairiki,KI,1.3292,172.9752,80.6,74,40,11.5,scattered clouds
251,Anadyr,RU,64.75,177.4833,43.3,93,40,40.26,scattered clouds
252,Gazojak,TM,41.1875,61.4036,55.54,21,0,11.41,clear sky
253,Kabare,CD,-2.4683,28.8242,62.69,81,100,1.97,overcast clouds
254,Siderno,IT,38.2779,16.302,60.33,61,3,5.84,clear sky
255,Porto Novo,BJ,6.4965,2.6036,80.42,86,35,7.09,scattered clouds
256,Atikokan,CA,48.7555,-91.6216,67.23,48,88,8.12,overcast clouds
257,Barrow,US,71.2906,-156.7887,37.42,65,40,24.16,scattered clouds
258,Airai,TL,-8.9266,125.4092,58.96,79,89,2.28,overcast clouds
259,Faanui,PF,-16.4833,-151.75,77.59,75,40,26.31,light rain
260,Zubtsov,RU,56.1753,34.5894,40.73,97,82,5.66,broken clouds
261,Mendeleyevsk,RU,55.9082,52.2905,49.24,65,100,10.18,overcast clouds
262,Panaba,MX,21.2833,-88.2667,89.65,32,0,13.49,clear sky
263,Bambous Virieux,MU,-20.3428,57.7575,71.85,73,40,8.05,scattered clouds
264,Vila Franca Do Campo,PT,37.7167,-25.4333,72.19,88,98,9.42,light rain
265,Eenhana,NA,-17.4667,16.3333,78.8,13,24,6.35,few clouds
266,Fortuna,US,40.5982,-124.1573,66.92,75,7,1.01,clear sky
267,Gamba,GA,-2.65,10.0,75.74,87,71,8.19,broken clouds
268,Nijar,ES,36.9665,-2.206,71.24,73,20,11.5,few clouds
269,Szentes,HU,46.65,20.2667,53.94,96,100,6.64,overcast clouds
270,Sokolo,ML,14.7328,-6.1219,90.5,38,3,5.44,clear sky
271,Slavutych,UA,51.5196,30.7343,47.21,93,100,6.67,overcast clouds
272,Saskylakh,RU,71.9167,114.0833,4.24,98,81,4.56,broken clouds
273,Cayenne,GF,4.9333,-52.3333,87.84,62,0,13.8,clear sky
274,Bhindar,IN,24.5,74.1833,76.57,54,63,4.03,broken clouds
275,Vestmanna,FO,62.1564,-7.1664,47.32,71,100,26.46,overcast clouds
276,Qandala,SO,11.472,49.8728,86.07,59,53,1.57,broken clouds
277,Chara,RU,56.9064,118.2631,17.94,75,77,3.6,broken clouds
278,Morro Bay,US,35.3658,-120.8499,88.93,36,18,8.01,few clouds
279,San Andres,CO,12.5847,-81.7006,87.82,74,75,9.22,broken clouds
280,Borogontsy,RU,62.6683,131.1683,21.78,90,81,6.33,broken clouds
281,Westport,US,41.1415,-73.3579,62.46,89,100,8.01,thunderstorm
282,Tongliao,CN,43.6125,122.2653,34.18,41,13,7.05,few clouds
283,Tianpeng,CN,30.9866,103.9393,62.64,94,100,4.81,overcast clouds
284,Willmar,US,45.1219,-95.0433,72.01,56,75,8.05,broken clouds
285,Brainerd,US,46.358,-94.2008,71.62,49,0,11.5,clear sky
286,Nantucket,US,41.2835,-70.0995,62.71,98,100,11.5,fog
287,Leningradskiy,RU,69.3833,178.4167,26.73,87,100,12.12,overcast clouds
288,Nemuro,JP,43.3236,145.575,50.41,71,100,9.28,overcast clouds
289,College,US,64.8569,-147.8028,45.21,86,75,0.0,broken clouds
290,Boguchany,RU,58.3814,97.4531,32.54,94,100,6.02,overcast clouds
291,Madimba,TZ,-10.4,40.3333,74.52,83,20,11.5,few clouds
292,Mpika,ZM,-11.8343,31.4529,65.16,32,5,6.44,clear sky
293,Nangong,CN,37.3581,115.3744,50.04,59,65,3.98,broken clouds
294,Nanakuli,US,21.3906,-158.1547,82.87,65,40,4.61,scattered clouds
295,Point Pedro,LK,9.8167,80.2333,79.12,83,100,11.81,light rain
296,Beira,MZ,-19.8436,34.8389,75.29,88,20,6.91,few clouds
297,Sao Filipe,CV,14.8961,-24.4956,79.45,80,50,6.76,scattered clouds
298,Bethel,US,41.3712,-73.414,62.42,86,100,3.44,overcast clouds
299,Puerto Escondido,MX,15.85,-97.0667,86.83,54,20,6.91,few clouds
300,Icod De Los Vinos,ES,28.3724,-16.7119,75.2,88,100,10.8,overcast clouds
301,Hvolsvollur,IS,63.7533,-20.2243,39.43,84,86,3.49,overcast clouds
302,Komsomolskiy,UZ,40.4272,71.7189,56.12,41,91,6.91,overcast clouds
303,Borodino,RU,55.9106,94.8983,32.05,97,98,10.4,light snow
304,Sibu,MY,2.3,111.8167,75.51,100,20,1.14,few clouds
305,Nome,US,64.5011,-165.4064,32.07,86,0,0.0,clear sky
306,Oranjemund,NA,-28.55,16.4333,55.98,88,34,10.65,scattered clouds
307,Kahului,US,20.8947,-156.47,86.02,68,40,13.8,scattered clouds
308,Carnarvon,AU,-24.8667,113.6333,62.92,61,21,23.67,few clouds
309,Phangnga,TH,8.4509,98.5298,78.84,94,100,2.73,overcast clouds
310,Honiara,SB,-9.4333,159.95,77.83,79,100,5.77,overcast clouds
311,Abalak,RU,58.1286,68.5944,45.93,62,100,5.21,overcast clouds
312,Jibuti,DJ,11.5,42.5,81.43,57,9,7.58,clear sky
313,Fairlie,GB,55.756,-4.8556,51.19,89,48,5.99,scattered clouds
314,Saint-Augustin,CA,51.226,-58.6502,58.14,66,25,12.01,scattered clouds
315,Broken Hill,AU,-31.95,141.4333,61.74,58,0,3.67,clear sky
316,Galesong,ID,-5.3166,119.3661,75.22,83,100,5.19,light rain
317,Kanel,SN,15.4916,-13.1763,91.4,66,0,6.91,clear sky
318,Miri,MY,4.4148,114.0089,77.14,100,40,2.3,scattered clouds
319,Podgornoye,RU,51.735,39.1496,48.42,87,75,11.18,broken clouds
320,Ilyich,KZ,40.8464,68.5067,49.6,28,0,4.97,clear sky
321,Opuwo,NA,-18.0607,13.84,74.3,27,4,5.28,clear sky
322,Savinka,RU,50.0785,47.0994,56.23,62,100,5.91,overcast clouds
323,Bilma,NE,18.6853,12.9164,92.05,16,9,8.14,clear sky
324,Kruisfontein,ZA,-34.0033,24.7314,55.89,83,76,4.97,broken clouds
325,Kulhudhuffushi,MV,6.6221,73.07,80.82,80,100,17.56,overcast clouds
326,Port Macquarie,AU,-31.4333,152.9167,56.89,93,100,5.08,light rain
327,Wawa,NG,9.9022,4.4192,76.84,85,99,2.62,light rain
328,Yar-Sale,RU,66.8333,70.8333,33.03,90,26,8.81,scattered clouds
329,Eyl,SO,7.9803,49.8164,77.68,82,99,16.4,overcast clouds
330,Esperance,AU,-33.8667,121.9,51.08,77,64,19.04,moderate rain
331,Gragnano,IT,40.6956,14.5123,69.85,52,17,1.43,few clouds
332,Mangrol,IN,21.1167,70.1167,80.33,75,16,11.59,few clouds
333,Port Hawkesbury,CA,45.6169,-61.3485,61.92,80,100,11.01,overcast clouds
334,Gornopravdinsk,RU,60.05,69.9,43.47,96,100,6.08,overcast clouds
335,Kutum,SD,14.2,24.6667,84.09,25,94,9.15,overcast clouds
336,Zhigalovo,RU,54.8097,105.1578,25.84,90,30,1.79,scattered clouds
337,Acarau,BR,-2.8856,-40.12,80.94,72,42,19.89,scattered clouds
338,Nouadhibou,MR,20.931,-17.0347,87.78,40,28,6.91,sand
339,Udachnyy,RU,66.4167,112.4,26.46,85,99,7.81,overcast clouds
340,Katangli,RU,51.7102,143.2326,29.79,72,2,8.86,clear sky
341,Vila Do Maio,CV,15.1333,-23.2167,84.99,77,12,7.45,few clouds
342,Konosha,RU,60.9736,40.257,45.37,97,100,1.16,overcast clouds
343,Ingham,US,42.6,-84.3833,75.9,37,0,5.75,clear sky
344,Wajima,JP,37.4,136.9,60.1,66,100,14.36,overcast clouds
345,Korla,CN,41.7597,86.1469,55.26,34,0,7.05,clear sky
